"","x"
"TimeBodyAccMeanX",0.274347260646063
"TimeBodyAccMeanY",-0.0177434918458972
"TimeBodyAccMeanZ",-0.108925032737064
"TimeBodyAccStdX",-0.607783818968688
"TimeBodyAccStdY",-0.510191378479501
"TimeBodyAccStdZ",-0.61306429934125
"TimeGravityAccMeanX",0.669226222373046
"TimeGravityAccMeanY",0.00403879092060517
"TimeGravityAccMeanZ",0.0921508600211059
"TimeGravityAccStdX",-0.965207115039421
"TimeGravityAccStdY",-0.95440802665318
"TimeGravityAccStdZ",-0.938900969424022
"TimeBodyAccJerkMeanX",0.0789381220355816
"TimeBodyAccJerkMeanY",0.0079481069090025
"TimeBodyAccJerkMeanZ",-0.00467469823628666
"TimeBodyAccJerkStdX",-0.63978102073413
"TimeBodyAccJerkStdY",-0.607971599340832
"TimeBodyAccJerkStdZ",-0.762820240449202
"TimeBodyGyroMeanX",-0.0309824871713436
"TimeBodyGyroMeanY",-0.0747194855994359
"TimeBodyGyroMeanZ",0.088357304227173
"TimeBodyGyroStdX",-0.721192598029789
"TimeBodyGyroStdY",-0.682653506899942
"TimeBodyGyroStdZ",-0.653665674372188
"TimeBodyGyroJerkMeanX",-0.0967092754729682
"TimeBodyGyroJerkMeanY",-0.0423181079782632
"TimeBodyGyroJerkMeanZ",-0.0548303497968374
"TimeBodyGyroJerkStdX",-0.731348533131935
"TimeBodyGyroJerkStdY",-0.786062320321895
"TimeBodyGyroJerkStdZ",-0.739932395222129
"TimeBodyAccMagMean",-0.54822165976717
"TimeBodyAccMagStd",-0.591225327146546
"TimeGravityAccMagMean",-0.54822165976717
"TimeGravityAccMagStd",-0.591225327146546
"TimeBodyAccJerkMagMean",-0.649417950650692
"TimeBodyAccJerkMagStd",-0.627762945785391
"TimeBodyGyroMagMean",-0.60524856977632
"TimeBodyGyroMagStd",-0.662533062898382
"TimeBodyGyroJerkMagMean",-0.762137610987416
"TimeBodyGyroJerkMagStd",-0.77799317279698
"FrequencyBodyAccMeanX",-0.622761658493734
"FrequencyBodyAccMeanY",-0.53749328145871
"FrequencyBodyAccMeanZ",-0.665033506271952
"FrequencyBodyAccStdX",-0.603356276555826
"FrequencyBodyAccStdY",-0.528420009576204
"FrequencyBodyAccStdZ",-0.617874813333395
"FrequencyBodyAccMeanFreqX",-0.2214691368263
"FrequencyBodyAccMeanFreqY",0.015400588735675
"FrequencyBodyAccMeanFreqZ",0.0473098698476722
"FrequencyBodyAccJerkMeanX",-0.656713524546605
"FrequencyBodyAccJerkMeanY",-0.628961179980356
"FrequencyBodyAccJerkMeanZ",-0.743608246170053
"FrequencyBodyAccJerkStdX",-0.654979816705833
"FrequencyBodyAccJerkStdY",-0.612243590244114
"FrequencyBodyAccJerkStdZ",-0.780928428167213
"FrequencyBodyAccJerkMeanFreqX",-0.0477062917542325
"FrequencyBodyAccJerkMeanFreqY",-0.213392904926883
"FrequencyBodyAccJerkMeanFreqZ",-0.123828014584147
"FrequencyBodyGyroMeanX",-0.672094306818974
"FrequencyBodyGyroMeanY",-0.70621663959074
"FrequencyBodyGyroMeanZ",-0.644192752866115
"FrequencyBodyGyroStdX",-0.738594816501343
"FrequencyBodyGyroStdY",-0.674226934551517
"FrequencyBodyGyroStdZ",-0.690446312501126
"FrequencyBodyGyroMeanFreqX",-0.101042702224631
"FrequencyBodyGyroMeanFreqY",-0.174277577553958
"FrequencyBodyGyroMeanFreqZ",-0.0513928953203266
"FrequencyBodyAccMagMean",-0.585962696268539
"FrequencyBodyAccMagStd",-0.659531216655476
"FrequencyBodyAccMagMeanFreq",0.0768760112631957
"FrequencyBodyBodyAccJerkMagMean",-0.620789916331592
"FrequencyBodyBodyAccJerkMagStd",-0.640076803144351
"FrequencyBodyBodyAccJerkMagMeanFreq",0.173219742700723
"FrequencyBodyBodyGyroMagMean",-0.697411069729937
"FrequencyBodyBodyGyroMagStd",-0.699976372277643
"FrequencyBodyBodyGyroMagMeanFreq",-0.0415636227771787
"FrequencyBodyBodyGyroJerkMagMean",-0.779767633083527
"FrequencyBodyBodyGyroJerkMagStd",-0.792190209274884
"FrequencyBodyBodyGyroJerkMagMeanFreq",0.126707820497791
